family	replicate	protein_locality	chemical_locality
NtrC/XylR	46	0.7480087194510953	0.0816451110614611
TetR	46	0.0177400549968926	0.0851054765662784
AraC/XylS	47	0.0611214953271028	0.142444716676323
Fur	47	0.5318775506587357	0.0692702958376332
GntR	47	0.1396315026031413	0.0714345647311701
LysR	47	0.053874418997604	0.0894521814793879
MarR	47	0.0	0.0859944968099691
NtrC/XylR	47	0.857474245115453	0.1026923649274642
TetR	47	0.0119132581859333	0.0935138649840226
AraC/XylS	48	0.4155	0.07660721761603
Fur	48	0.4005525525525525	0.0847152286134922
GntR	48	0.0	0.1266275508909142
LacI/GalR	48	0.0	0.1594285851636893
LysR	48	0.1814076968512554	0.1036733811052483
MarR	48	0.0	0.0940613357531947
NtrC/XylR	48	0.3450266248873685	0.0638050839030443
TetR	48	0.0331249038827446	0.1030578453230634
AraC/XylS	49	0.831	0.1892812736245281
Fur	49	0.2408301416853094	0.0656178782869106
GntR	49	0.0	0.0645516660647372
LysR	49	0.0786387925874567	0.1230780512272429
NtrC/XylR	49	0.5294117375980558	0.0679412905940166
TetR	49	0.0055442101208531	0.0824306263887713
AraC/XylS	50	0.3965593607305935	0.1764262987496042
Fur	50	0.3070162612612612	0.0854949294532628
GntR	50	0.0742811244979919	0.0934756192733594
IclR	50	0.0448843069873997	0.0861824843048029
LacI/GalR	50	0.0	0.1281707675229392
LysR	50	0.2932650007820503	0.1061524326525094
MarR	50	0.0	0.1239296980286043
NtrC/XylR	50	0.2604881234302632	0.1238276132024678
TetR	50	0.0352849709967182	0.0955949533928519
AraC/XylS	51	0.4935	0.1592480203996147
Fur	51	0.3528533333333333	0.0701468888616218
GntR	51	0.0775662650602409	0.1264806449383732
IclR	51	0.0	0.0718174655908249
LysR	51	0.1869732137610165	0.0829321450580273
MarR	51	0.0	0.0918022342505717
NtrC/XylR	51	0.4503432884716184	0.1000079854397032
TetR	51	0.0037176440901024	0.0824947519978292
AraC/XylS	52	0.065767639067212	0.0891876496210837
Fur	52	0.1559552965235174	0.0659990869076995
GntR	52	0.0	0.1095701945881794
IclR	52	0.1137737704918032	0.0726933998469826
LacI/GalR	52	0.0688588854489164	0.1363656471217481
LysR	52	0.1079386362615291	0.1253964416035724
MarR	52	0.054110497237569	0.1113954185815603
NtrC/XylR	52	0.493022414381952	0.1294371966119709
TetR	52	0.0117680077041957	0.0801286711103665
Fur	53	0.2189525671416176	0.0980390850995997
GntR	53	0.0	0.0965523521657796
IclR	53	0.2468668772902334	0.1081231268694451
LacI/GalR	53	0.1262920956272222	0.0511377564947342
LysR	53	0.2060202594537297	0.0934067338430437
MarR	53	0.0	0.0795062668853401
NtrC/XylR	53	0.7595940130170905	0.1099502735543917
TetR	53	0.0305206261443576	0.0943308557420742
AraC/XylS	54	0.0	0.1029747502177466
Fur	54	0.1417685024664482	0.116202321621882
GntR	54	0.0	0.1153602841871732
IclR	54	0.0	0.1107851418857955
LacI/GalR	54	0.0	0.0676106183304497
LysR	54	0.1386755830305871	0.0927417070167869
MarR	54	0.0	0.0763306388680499
NtrC/XylR	54	0.5196946097576096	0.1763437215127603
TetR	54	0.0148651680577761	0.0944683560542823
AraC/XylS	55	0.417	0.1256945164111693
Fur	55	0.4723641535870013	0.0800495169337534
GntR	55	0.0	0.1452157575293927
IclR	55	0.0	0.1418351710912398
LacI/GalR	55	0.0952870905587668	0.1084594608091441
LysR	55	0.0437165060998524	0.1210973144114593
MarR	55	0.0	0.0856140289727644
NtrC/XylR	55	0.546665203390223	0.1371031385533856
TetR	55	0.0298730715863703	0.0915053155155875
AraC/XylS	56	0.2085	0.0675601916313195
Fur	56	0.3813542193113359	0.1767079821015846
GntR	56	0.3156468401486989	0.1367992472019015
LacI/GalR	56	0.1450495626822157	0.092255473810401
LysR	56	0.1207465075981695	0.1206598733729862
MarR	56	0.0	0.0964446253028975
NtrC/XylR	56	0.1888377192982456	0.1145913403806978
TetR	56	0.0021750690118713	0.0998988865427029
AraC/XylS	57	0.2085	0.1135376449162253
Fur	57	0.0980274216984178	0.0704907161803713
IclR	57	0.0	0.1479795599327294
LacI/GalR	57	0.0	0.1524956317156426
LysR	57	0.2329375368181833	0.0884987427548414
MarR	57	0.0	0.1036468986719297
NtrC/XylR	57	0.4408790062866412	0.0787750940522798
TetR	57	0.0015478214381181	0.0934382914421732
AraC/XylS	58	0.0	0.1121945039827723
Fur	58	0.2361808208208208	0.1132826381198474
GntR	58	0.0	0.0967810684522987
LacI/GalR	58	0.0	0.1024483852474946
LysR	58	0.0817303302263232	0.126593598313035
MarR	58	0.0	0.0733266411181567
NtrC/XylR	58	0.523997241336557	0.1163815072262322
TetR	58	0.013091852512119	0.098111557599036
AraC/XylS	59	0.0425288753799392	0.0876078431665594
Fur	59	0.3339645508771215	0.1365179800071104
GntR	59	0.0	0.0846384431527286
IclR	59	0.0	0.082529100557201
LacI/GalR	59	0.1149156626506024	0.081724549505711
LysR	59	0.2210817288842148	0.120030680334168
MarR	59	0.0	0.08200807579689
NtrC/XylR	59	0.550867541949225	0.128139979663151
TetR	59	0.0140411203007719	0.0846259238850171
Fur	60	0.1508317933723197	0.092292772923945
IclR	60	0.2248074848872501	0.11233897069089
LacI/GalR	60	0.0	0.0862989590645801
LysR	60	0.2561410132077139	0.0863578149934764
MarR	60	0.1645	0.0773906285544068
NtrC/XylR	60	0.6917186356946351	0.0891828640734176
TetR	60	0.0187495457855147	0.0894199998648406
AraC/XylS	61	0.126572318647085	0.0850163827688121
Fur	61	0.2929039829302987	0.067892712050927
LysR	61	0.1889126642549717	0.089902869463312
