split	fold	model	query_id	n_candidates	n_positives	best_positive_rank	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	0	T_P	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O	6453	1	8	0.0	1.0	1.0	0.125	1.0
Random-edge	0	T_L	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O	6453	1	18	0.0	0.0	1.0	0.0555555555555555	1.0
Random-edge	0	Dstar	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O	6453	1	245	0.0	0.0	0.0	0.0040816326530612	0.0
Random-edge	0	B	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O	6453	1	11	0.0	0.0	1.0	0.0909090909090909	1.0
Random-edge	0	F	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O	6453	1	12	0.0	0.0	1.0	0.0833333333333333	1.0
Random-edge	0	T_P	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O	6455	1	6080	0.0	0.0	0.0	0.0001644736842105	0.0
Random-edge	0	T_L	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O	6455	1	6097	0.0	0.0	0.0	0.0001640150893882	0.0
Random-edge	0	Dstar	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O	6455	1	1039	0.0	0.0	0.0	0.0009624639076034	0.0
Random-edge	0	B	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O	6455	1	5906	0.0	0.0	0.0	0.0001693193362682	0.0
Random-edge	0	F	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O	6455	1	5906	0.0	0.0	0.0	0.0001693193362682	0.0
Random-edge	0	T_P	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	6456	1	1938	0.0	0.0	0.0	0.000515995872033	0.0
Random-edge	0	T_L	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	6456	1	9	0.0	1.0	1.0	0.1111111111111111	1.0
Random-edge	0	Dstar	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	6456	1	8	0.0	1.0	1.0	0.125	1.0
Random-edge	0	B	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	6456	1	33	0.0	0.0	1.0	0.0303030303030303	1.0
Random-edge	0	F	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	6456	1	13	0.0	0.0	1.0	0.0769230769230769	1.0
Random-edge	0	T_P	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	6454	2	9	0.0	1.0	1.0	0.1111111111111111	0.5
Random-edge	0	T_L	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	6454	2	1610	0.0	0.0	0.0	0.0006211180124223	0.0
Random-edge	0	Dstar	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	6454	2	435	0.0	0.0	0.0	0.0022988505747126	0.0
Random-edge	0	B	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	6454	2	13	0.0	0.0	1.0	0.0769230769230769	0.5
Random-edge	0	F	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	6454	2	28	0.0	0.0	1.0	0.0357142857142857	0.5
Random-edge	0	T_P	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	6457	1	758	0.0	0.0	0.0	0.0013192612137203	0.0
Random-edge	0	T_L	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	B	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
