split	fold	query_id	candidate_hash	TP_rank	TL_rank	Dstar_rank	B_rank	F_rank	outer_fold	query_ligand_id	held_out_protein_id	availability_stratum
Random-edge	0	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	fba2943fbe8a3bfb6e3ae4a552ca7e17	4.0	6352.0	79.0	4.0	12.0	0	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	fba2943fbe8a3bfb6e3ae4a552ca7e17	protein_only
Random-edge	0	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O	89db38f5d27836a8aa2d7b3061fe21d3	3.0	10.0	5.0	9.0	7.0	0	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O	89db38f5d27836a8aa2d7b3061fe21d3	both
Random-edge	0	C1=CC(=C(C=C1CCN)O)O	45870494002d99357634c95d958f92e5	1753.0	2046.0	1213.0	1066.0	1066.0	0	C1=CC(=C(C=C1CCN)O)O	45870494002d99357634c95d958f92e5	neither
Random-edge	0	C1=CC(=CC(=C1)Cl)O	d71a5f0ba47b0a0edf233917ad3c036d	5479.0	9.0	1.0	9.0	7.0	0	C1=CC(=CC(=C1)Cl)O	d71a5f0ba47b0a0edf233917ad3c036d	ligand_only
Random-edge	0	C1=CC(=CC(=C1)[O-])C(=O)O	33f0d6ab60f41030462812b293488bb3	1317.0	33.0	26.0	272.0	247.0	0	C1=CC(=CC(=C1)[O-])C(=O)O	33f0d6ab60f41030462812b293488bb3	ligand_only
Random-edge	0	C1=CC(=CC=C1C(=O)O)O	5dc429b5717736abbd44c40bf1cf317c	2391.0	2633.0	3711.0	2442.0	2442.0	0	C1=CC(=CC=C1C(=O)O)O	5dc429b5717736abbd44c40bf1cf317c	protein_only
Random-edge	0	C1=CC(=CC=C1C(=O)O)[O-]	ec3d822b62cf0c4398f20bc111373d53	5972.0	3.0	1786.0	3.0	11.0	0	C1=CC(=CC=C1C(=O)O)[O-]	ec3d822b62cf0c4398f20bc111373d53	ligand_only
Random-edge	0	C1=CC(=CC=C1C(=O)[O-])[N+](=O)[O-]	d903094136aa1d8e7c298f2acca4b2b2	5519.0	5567.0	1825.0	1656.0	1656.0	0	C1=CC(=CC=C1C(=O)[O-])[N+](=O)[O-]	d903094136aa1d8e7c298f2acca4b2b2	neither
Random-edge	0	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	ebdb40cd5cac5f76be85b39316c47894	7.0	8.0	6.0	5.0	5.0	0	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	ebdb40cd5cac5f76be85b39316c47894	both
Random-edge	0	C1=CC(=CC=C1C2=CC=C(O2)C3=CC=C(C=C3)C(=N)N)C(=N)N	506feb33435607c1483aefbbb4983a16	2056.0	1.0	1.0	1.0	1.0	0	C1=CC(=CC=C1C2=CC=C(O2)C3=CC=C(C=C3)C(=N)N)C(=N)N	506feb33435607c1483aefbbb4983a16	ligand_only
Random-edge	0	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O	a1500955e1f419ecc05fc0cc2ab4a5d1	10.0	4235.0	69.0	9.0	13.0	0	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O	a1500955e1f419ecc05fc0cc2ab4a5d1	protein_only
Random-edge	0	C1=CC(=CC=C1CC(=O)O)O	28995a05778b7991174ba659d0c59eee	1049.0	2.0	10.0	3.0	2.0	0	C1=CC(=CC=C1CC(=O)O)O	28995a05778b7991174ba659d0c59eee	ligand_only
Random-edge	0	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	565138dd35eebdf76237e9c0b48f4152	2.0	27.0	7.0	9.0	4.0	0	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	565138dd35eebdf76237e9c0b48f4152	both
Random-edge	0	C1=CC(=CN=C1)C(=O)O	cf1ac1423df53baa207595f5ca539e78	5261.0	118.0	1767.0	136.0	136.0	0	C1=CC(=CN=C1)C(=O)O	cf1ac1423df53baa207595f5ca539e78	both
Random-edge	0	C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O	565138dd35eebdf76237e9c0b48f4152	2218.0	10.0	20.0	12.0	9.0	0	C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O	565138dd35eebdf76237e9c0b48f4152	ligand_only
Random-edge	0	C1=CC=C(C(=C1)C(=O)O)[O-]	34ded561ec6698344bffa193f5e47deb	1420.0	73.0	267.0	172.0	176.0	0	C1=CC=C(C(=C1)C(=O)O)[O-]	34ded561ec6698344bffa193f5e47deb	both
Random-edge	0	C1=CC=C(C(=C1)O)Cl	d71a5f0ba47b0a0edf233917ad3c036d	5479.0	4.0	2.0	4.0	3.0	0	C1=CC=C(C(=C1)O)Cl	d71a5f0ba47b0a0edf233917ad3c036d	ligand_only
Random-edge	0	C1=CC=C(C=C1)C(=O)O	d193f6905753f1c78f731671041151ae	5320.0	16.0	1.0	26.0	10.0	0	C1=CC=C(C=C1)C(=O)O	d193f6905753f1c78f731671041151ae	ligand_only
Random-edge	0	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O	de22dd68ad2a20975814057d3b412b56	2.0	2.0	1.0	2.0	2.0	0	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O	de22dd68ad2a20975814057d3b412b56	both
Random-edge	0	C1=CC=C2C(=C1)C(=CC=C2)CC3=CC(N5C(=C3C4CC4)SCC5C(O)=O)=O	47351510103424e59337fdeef71184e0	1809.0	2097.0	119.0	31.0	31.0	0	C1=CC=C2C(=C1)C(=CC=C2)CC3=CC(N5C(=C3C4CC4)SCC5C(O)=O)=O	47351510103424e59337fdeef71184e0	neither
Random-edge	0	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	7d2ae900d7f26d0eb7637a8a86d42a48	3216.0	2.0	28.0	10.0	9.0	0	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	7d2ae900d7f26d0eb7637a8a86d42a48	both
Random-edge	0	C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O	d193f6905753f1c78f731671041151ae	5320.0	1.0	1.0	1.0	1.0	0	C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O	d193f6905753f1c78f731671041151ae	ligand_only
Random-edge	0	C1=CC=C2C(=C1)C=CC=C2O	565138dd35eebdf76237e9c0b48f4152	2229.0	82.0	27.0	98.0	98.0	0	C1=CC=C2C(=C1)C=CC=C2O	565138dd35eebdf76237e9c0b48f4152	both
Random-edge	0	C1=CC=C2C(=C1)C=CN2	32496ea0e675803cfa92f30984af8179	1283.0	1608.0	87.0	53.0	58.0	0	C1=CC=C2C(=C1)C=CN2	32496ea0e675803cfa92f30984af8179	neither
Random-edge	0	C1=CC=C2C(=C1)C=CN2	676eab037c878bfed933ed17ce320e00	2659.0	4.0	26.0	4.0	8.0	0	C1=CC=C2C(=C1)C=CN2	676eab037c878bfed933ed17ce320e00	ligand_only
