encoder	split	fold	n_queries	H@10	H@50	MRR
prosst1024_sequence_only	TF-50	2	115	0.0	0.043478260869565216	0.0033492019914588295
prosst1024_sequence_only	TF-50	3	151	0.0	0.039735099337748346	0.003349566502356435
prosst1024_sequence_only	TF-50	4	110	0.01818181818181818	0.05454545454545454	0.008864317462567816
prosst2048_esmfold	Ligand-Morgan-0.5	0	103	0.1262135922330097	0.2912621359223301	0.08714439767152725
prosst2048_esmfold	Ligand-Morgan-0.5	1	111	0.10810810810810811	0.23423423423423423	0.06942923815174264
prosst2048_esmfold	Ligand-Morgan-0.5	2	109	0.23853211009174313	0.30275229357798167	0.1394281882595143
prosst2048_esmfold	Ligand-Morgan-0.5	3	114	0.14912280701754385	0.2719298245614035	0.09043720136870795
prosst2048_esmfold	Ligand-Morgan-0.5	4	94	0.2872340425531915	0.40425531914893614	0.17423501653374723
prosst2048_esmfold	Random-edge	0	158	0.34177215189873417	0.46835443037974683	0.21552408360107567
prosst2048_esmfold	Random-edge	1	153	0.35947712418300654	0.48366013071895425	0.1922660657161185
prosst2048_esmfold	Random-edge	2	152	0.3157894736842105	0.506578947368421	0.18658667137865256
prosst2048_esmfold	Random-edge	3	145	0.3931034482758621	0.5172413793103449	0.242814570284195
prosst2048_esmfold	Random-edge	4	150	0.3333333333333333	0.47333333333333333	0.23151417734890004
prosst2048_esmfold	TF-50	0	170	0.01764705882352941	0.08823529411764706	0.01275272675154102
prosst2048_esmfold	TF-50	1	160	0.0625	0.18125	0.029183132155044193
prosst2048_esmfold	TF-50	2	115	0.0	0.06956521739130435	0.006109849961418645
prosst2048_esmfold	TF-50	3	151	0.039735099337748346	0.11920529801324503	0.01062411540212139
prosst2048_esmfold	TF-50	4	110	0.045454545454545456	0.16363636363636364	0.024155751719809243
prosst2048_sequence_only	Ligand-Morgan-0.5	0	103	0.11650485436893204	0.22330097087378642	0.07749446782812419
prosst2048_sequence_only	Ligand-Morgan-0.5	1	111	0.10810810810810811	0.16216216216216217	0.08351642040087044
prosst2048_sequence_only	Ligand-Morgan-0.5	2	109	0.1926605504587156	0.27522935779816515	0.11247287359563482
prosst2048_sequence_only	Ligand-Morgan-0.5	3	114	0.11403508771929824	0.17543859649122806	0.0862715688413754
prosst2048_sequence_only	Ligand-Morgan-0.5	4	94	0.24468085106382978	0.32978723404255317	0.1631966093201109
prosst2048_sequence_only	Random-edge	0	158	0.25316455696202533	0.33544303797468356	0.17180806463141574
prosst2048_sequence_only	Random-edge	1	153	0.26143790849673204	0.35947712418300654	0.17761907293593826
prosst2048_sequence_only	Random-edge	2	152	0.2565789473684211	0.3881578947368421	0.14122025772378
prosst2048_sequence_only	Random-edge	3	145	0.33793103448275863	0.4206896551724138	0.24855142905164204
prosst2048_sequence_only	Random-edge	4	150	0.29333333333333333	0.37333333333333335	0.19882086351079964
prosst2048_sequence_only	TF-50	0	170	0.01764705882352941	0.052941176470588235	0.014101914126752343
prosst2048_sequence_only	TF-50	1	160	0.0375	0.08125	0.013069833991266136
prosst2048_sequence_only	TF-50	2	115	0.008695652173913044	0.017391304347826087	0.004662315723973966
prosst2048_sequence_only	TF-50	3	151	0.006622516556291391	0.039735099337748346	0.0038608006789947165
prosst2048_sequence_only	TF-50	4	110	0.01818181818181818	0.05454545454545454	0.015175240266738865
prostt5_aa2fold	Ligand-Morgan-0.5	0	103	0.1553398058252427	0.32038834951456313	0.09221936478978324
prostt5_aa2fold	Ligand-Morgan-0.5	1	111	0.14414414414414414	0.25225225225225223	0.08732219849536169
prostt5_aa2fold	Ligand-Morgan-0.5	2	109	0.22018348623853212	0.3853211009174312	0.16301002933100167
prostt5_aa2fold	Ligand-Morgan-0.5	3	114	0.17543859649122806	0.30701754385964913	0.09110448435375607
prostt5_aa2fold	Ligand-Morgan-0.5	4	94	0.3723404255319149	0.48936170212765956	0.19015506770038804
prostt5_aa2fold	Random-edge	0	158	0.35443037974683544	0.5126582278481012	0.24560064472736712
prostt5_aa2fold	Random-edge	1	153	0.4117647058823529	0.5620915032679739	0.23783888843201617
prostt5_aa2fold	Random-edge	2	152	0.34210526315789475	0.506578947368421	0.20479775083006274
prostt5_aa2fold	Random-edge	3	145	0.43448275862068964	0.5724137931034483	0.2837989807335297
prostt5_aa2fold	Random-edge	4	150	0.35333333333333333	0.5	0.20129968200711634
prostt5_aa2fold	TF-50	0	170	0.029411764705882353	0.1411764705882353	0.01367506771351239
prostt5_aa2fold	TF-50	1	160	0.11875	0.25625	0.02960467446427719
prostt5_aa2fold	TF-50	2	115	0.008695652173913044	0.10434782608695652	0.011245820182378737
prostt5_aa2fold	TF-50	3	151	0.039735099337748346	0.1390728476821192	0.012946213880984974
prostt5_aa2fold	TF-50	4	110	0.06363636363636363	0.2545454545454545	0.02704201233245329
