encoder	split	seed	n_queries	H@10	H@50	MRR	support_stratum
prosst2048_esmfold	Ligand-Morgan-0.5	20260717	531	0.1487758945386064	0.24293785310734464	0.0844383060213135	all
prosst2048_esmfold	Ligand-Morgan-0.5	20260718	531	0.1694915254237288	0.2843691148775895	0.10132018290663565	all
prosst2048_esmfold	Random-edge	42	758	0.31926121372031663	0.4815303430079156	0.19774824890348844	all
prosst2048_esmfold	Random-edge	20260717	758	0.3179419525065963	0.4630606860158311	0.195013063893348	all
prosst2048_esmfold	Random-edge	20260718	758	0.32717678100263853	0.46437994722955145	0.19767187584868345	all
prosst2048_esmfold	TF-50	42	706	0.028328611898016998	0.10339943342776203	0.013406414231089138	all
prosst2048_esmfold	TF-50	20260717	706	0.043909348441926344	0.11898016997167139	0.01786266468824798	all
prosst2048_esmfold	TF-50	20260718	706	0.031161473087818695	0.10198300283286119	0.015158977340862157	all
prosst2048_sequence_only	Ligand-Morgan-0.5	42	531	0.1167608286252354	0.21092278719397364	0.08087491866774876	all
prosst2048_sequence_only	Ligand-Morgan-0.5	20260717	531	0.1318267419962335	0.2128060263653484	0.08284944573028054	all
prosst2048_sequence_only	Ligand-Morgan-0.5	20260718	531	0.1374764595103578	0.2071563088512241	0.09306596582883016	all
prosst2048_sequence_only	Random-edge	42	758	0.2519788918205805	0.36807387862796836	0.16768689677282686	all
prosst2048_sequence_only	Random-edge	20260717	758	0.26649076517150394	0.370712401055409	0.17740022494791535	all
prosst2048_sequence_only	Random-edge	20260718	758	0.26517150395778366	0.34564643799472294	0.17659822935054517	all
prosst2048_sequence_only	TF-50	42	706	0.012747875354107648	0.060906515580736544	0.01106699792392156	all
prosst2048_sequence_only	TF-50	20260717	706	0.015580736543909348	0.053824362606232294	0.007634282995772964	all
prosst2048_sequence_only	TF-50	20260718	706	0.0113314447592068	0.04815864022662889	0.009621200155064272	all
prostt5_aa2fold	Ligand-Morgan-0.5	42	531	0.18832391713747645	0.3126177024482109	0.10056358839908305	all
prostt5_aa2fold	Ligand-Morgan-0.5	20260717	531	0.18267419962335216	0.3258003766478343	0.11112616602503904	all
prostt5_aa2fold	Ligand-Morgan-0.5	20260718	531	0.1864406779661017	0.3389830508474576	0.11220269720301268	all
prostt5_aa2fold	Random-edge	42	758	0.35092348284960423	0.5013192612137203	0.20835007426806915	all
prostt5_aa2fold	Random-edge	20260717	758	0.36147757255936674	0.5224274406332454	0.22232455684790328	all
prostt5_aa2fold	Random-edge	20260718	758	0.3575197889182058	0.5224274406332454	0.20548385893870166	all
prostt5_aa2fold	TF-50	42	706	0.036827195467422094	0.15439093484419264	0.015528514283766415	all
prostt5_aa2fold	TF-50	20260717	706	0.043909348441926344	0.15722379603399433	0.018505456910152707	all
prostt5_aa2fold	TF-50	20260718	706	0.06657223796033994	0.1643059490084986	0.021798070096150944	all
