split	fold	model	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	1	T_P	0.0915032679738562	0.16993464052287582	0.24836601307189543	0.12413880137687082	0.23202614379084968
Random-edge	2	B	0.15789473684210525	0.39473684210526316	0.5526315789473685	0.23980439986116506	0.5471491228070176
Random-edge	2	Dstar	0.15789473684210525	0.375	0.5131578947368421	0.23466029217106046	0.5328947368421053
Random-edge	2	F	0.19078947368421054	0.4473684210526316	0.5723684210526315	0.27537295537116496	0.5625
Random-edge	2	T_L	0.17105263157894737	0.3684210526315789	0.506578947368421	0.241111883877833	0.4956140350877193
Random-edge	2	T_P	0.046052631578947366	0.15789473684210525	0.21052631578947367	0.08544578591378377	0.18859649122807018
Random-edge	3	B	0.2206896551724138	0.43448275862068964	0.6068965517241379	0.3064016507636075	0.6258620689655172
Random-edge	3	Dstar	0.18620689655172415	0.43448275862068964	0.5310344827586206	0.2599516176554758	0.5195402298850574
Random-edge	3	F	0.2896551724137931	0.4896551724137931	0.6206896551724138	0.3608483985773193	0.6327586206896552
Random-edge	3	T_L	0.1793103448275862	0.42758620689655175	0.503448275862069	0.26970777654122036	0.4735632183908046
Random-edge	3	T_P	0.1310344827586207	0.23448275862068965	0.2896551724137931	0.16873827032239727	0.267816091954023
Random-edge	4	B	0.1	0.36	0.5466666666666666	0.18396518969707798	0.5384444444444444
Random-edge	4	Dstar	0.16	0.36	0.5266666666666666	0.23212420439886264	0.5246666666666667
Random-edge	4	F	0.16666666666666666	0.41333333333333333	0.56	0.230327366642255	0.5517777777777778
Random-edge	4	T_L	0.14666666666666667	0.38	0.49333333333333335	0.22249933793045357	0.5033333333333333
Random-edge	4	T_P	0.08	0.2	0.24	0.12335339295525066	0.2162222222222222
TF-50	0	B	0.0	0.08823529411764706	0.17647058823529413	0.02832259848758456	0.18529411764705883
TF-50	0	Dstar	0.0	0.03529411764705882	0.11176470588235295	0.016808609161324824	0.153921568627451
TF-50	0	F	0.01764705882352941	0.08235294117647059	0.19411764705882353	0.0428896081950834	0.18529411764705883
TF-50	0	T_L	0.0	0.0	0.0	0.0005775120237399359	0.0
TF-50	0	T_P	0.0	0.06470588235294118	0.08823529411764706	0.016729845045223055	0.08235294117647059
TF-50	1	B	0.01875	0.11875	0.275	0.050591487431641914	0.27291666666666664
TF-50	1	Dstar	0.0	0.06875	0.2375	0.0239083621344693	0.2520833333333333
TF-50	1	F	0.0375	0.16875	0.28125	0.07902867079452655	0.28125
TF-50	1	T_L	0.0	0.0	0.0375	0.002455436480244831	0.034375
TF-50	1	T_P	0.00625	0.05625	0.1125	0.025994405986525033	0.10416666666666667
TF-50	2	B	0.017391304347826087	0.0782608695652174	0.30434782608695654	0.04976426208878459	0.3014492753623188
TF-50	2	Dstar	0.0	0.017391304347826087	0.17391304347826086	0.015165345226734472	0.1898550724637681
TF-50	2	F	0.02608695652173913	0.17391304347826086	0.3217391304347826	0.07570431686152444	0.31014492753623185
TF-50	2	T_L	0.0	0.0	0.0	0.00040490268656204176	0.0
TF-50	2	T_P	0.0	0.06956521739130435	0.10434782608695652	0.03002295278201409	0.0927536231884058
TF-50	3	B	0.0	0.052980132450331126	0.19205298013245034	0.01994760830856072	0.19370860927152317
TF-50	3	Dstar	0.0	0.06622516556291391	0.1456953642384106	0.028839485143526192	0.16225165562913907
TF-50	3	F	0.046357615894039736	0.11258278145695365	0.19205298013245034	0.06965048571797991	0.19370860927152317
TF-50	3	T_L	0.0	0.0	0.0	0.000567185089399445	0.0
TF-50	3	T_P	0.0	0.033112582781456956	0.09271523178807947	0.011607663661515928	0.10099337748344371
TF-50	4	B	0.045454545454545456	0.11818181818181818	0.3090909090909091	0.07723240805741388	0.32045454545454544
TF-50	4	Dstar	0.00909090909090909	0.06363636363636363	0.18181818181818182	0.030887201321909797	0.22727272727272727
TF-50	4	F	0.06363636363636363	0.13636363636363635	0.3090909090909091	0.09417742776439358	0.32954545454545453
TF-50	4	T_L	0.0	0.0	0.0	0.0006200578502933655	0.0
TF-50	4	T_P	0.03636363636363636	0.08181818181818182	0.17272727272727273	0.053055403172354736	0.15681818181818183
